2025-07-16 13:40:14,517 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 13:40:16,370 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,399 [INFO] Phone migrated to 4
2025-07-16 13:40:35,599 [INFO] Reconnecting to new data center 4
2025-07-16 13:40:35,766 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 13:40:35,767 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 13:40:35,767 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2025-07-16 13:40:37,528 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2025-07-16 13:42:35,848 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:36,303 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:36,602 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:36,967 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:37,357 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:37,657 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:38,603 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:38,954 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:39,281 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:39,566 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:39,760 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:39,972 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:40,217 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:40,626 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:41,157 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:41,630 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:42,496 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:43,546 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:43,913 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:44,971 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:45,271 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:45,611 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:46,040 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:46,600 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:47,349 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:47,752 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:48,370 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:48,788 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:49,263 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:49,734 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:50,176 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:50,620 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:50,912 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:51,167 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:52,029 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:53,535 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:54,998 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:55,672 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:56,670 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:56,926 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:57,358 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:57,575 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:57,784 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:58,142 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:58,542 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:58,760 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:59,582 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:42:59,855 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:00,238 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:01,213 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:01,646 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:01,893 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:02,115 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:02,881 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:03,731 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:04,214 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:04,537 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:04,758 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:05,041 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:05,279 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:05,490 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:05,697 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:05,951 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:06,549 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:06,949 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:07,210 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:07,445 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:07,734 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:08,185 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:08,592 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:09,046 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:09,287 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:09,559 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:09,902 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:10,492 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:10,703 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:10,954 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:11,459 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:11,933 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:12,289 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:12,551 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:13,085 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:13,390 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 13:43:14,057 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
